ID,CityCode,CityName,Country,StateID,AirportName,IsRail,Source,Region1,Region2,Region3,Region4,Region5,Latitude,Longitude,ValidFrom,ValidTo
7063,YPL,Pickle Lake,496,779,Pickle Lake Arpt,0,NULL,888,890,897,908,915,51.44639969,-90.21420288,NULL,NULL
7064,PIX,Pico Island,643,NULL,Pico Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,38.5542984,-28.44129944,NULL,NULL
7065,PCS,Picos,489,758,Picos arpt,0,NULL,889,892,900,910,918,-7.062059879,-41.52370071,NULL,NULL
7066,PCN,Picton,630,NULL,Koromiko,0,NULL,889,894,905,913,919,-41.34609985,173.9559937,NULL,NULL
7067,PDS,Piedras Negras,616,NULL,Piedras Negras International,0,NULL,889,892,899,908,917,28.627399,-100.535004,NULL,NULL
7068,PIR,Pierre,692,862,Pierre Regional Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,44.38270187,-100.2860031,NULL,NULL
7069,PZY,Piestany,661,NULL,Piestany Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,48.62519836,17.82839966,NULL,NULL
7070,PZB,Pietermaritzburg,707,NULL,Pietermaritzburg Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,-29.64900017,30.39870071,NULL,NULL
7071,LPJ,Pijiguaos,697,NULL,Pijiguaos,0,NULL,NULL,NULL,NULL,NULL,NULL,6.578050137,-66.81690216,NULL,NULL
7072,YPM,Pikangikum,496,779,Pikangikum Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,51.81969833,-93.97329712,NULL,NULL
7073,PVL,Pikeville,692,837,Pike County Regional Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,37.5617981,-82.56639862,NULL,NULL
7074,PIW,Pikwitonei,496,772,Pikwitonei Rail Station,1,NULL,NULL,NULL,NULL,NULL,NULL,55.58890152,-97.16419983,NULL,NULL
7075,PIL,Pilar,645,NULL,Pilar,0,NULL,NULL,NULL,NULL,NULL,NULL,-26.881224,-58.318026,NULL,NULL
7076,PIP,Pilot Point,692,819,Pilot Point Airport,0,NULL,NULL,NULL,NULL,NULL,NULL,57.58039856,-157.5720062,NULL,NULL
